Country Name,Country Code,gdp,lit_rate,inflation_rate,urban_rate,export,labor_rate,unemployment_rate,gov_spend,primary_rate
Syrian Arab Republic,SYR,656.3490586,,47.70516153,52.835,21.6800989,,8.468999863,,
Turks and Caicos Islands,TCA,26946.41785,,,92.517,,,,,
Chad,TCD,668.0786361,22,-0.7924405252,22.677,26.29503676,,1.855999947,,41.32026
East Asia & Pacific (IDA & IBRD countries),TEA,6649.86736,95.34355927,1.757111589,53.59250537,23.39099919,70.0610676,,,93.65964
Europe & Central Asia (IDA & IBRD countries),TEC,7649.906658,99.0506897,0.7555761355,65.97150139,31.91548385,62.21572136,,,96.89654
Togo,TGO,772.5817871,,1.285448471,40.628,25.99637001,,2.174999952,4.95558,92.71515
Thailand,THA,5833.577156,91.98139954,0.1881497044,48.448,67.07088397,68.25,0.6880000234,,
Tajikistan,TJK,788.7104817,,6.004580823,26.851,13.20032926,42.38,11.41800022,,95.38155
Turkmenistan,TKM,5686.98041,,,50.728,22.15051385,,3.920000076,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8302.174342,93.75376129,2.537817104,80.11481174,21.34888911,63.66063849,,,99.28281
Timor-Leste,TLS,1335.543901,65.77912903,-1.338538762,29.85,3.156422882,67.068,4.657000065,8.05194,99.2806
Middle East & North Africa (IDA & IBRD countries),TMN,3834.136582,75.24681091,3.629399374,60.29110276,20.38249613,44.44643566,,,89.46362
Tonga,TON,3987.986262,,2.578155152,23.222,21.66220439,55.307,1.110000014,,
South Asia (IDA & IBRD),TSA,1663.620307,71.10578156,4.171390211,33.17541753,17.53917407,,,,91.8988
Sub-Saharan Africa (IDA & IBRD countries),TSS,1446.87391,64.87825775,5.430519661,39.22472367,21.65414643,,,,68.22181
Trinidad and Tobago,TTO,17521.80075,,3.070667425,53.25,,59.272,2.971999884,,
Tunisia,TUN,3847.803544,,3.629399374,68.346,38.29529558,47.165,15.51399994,,99.01363
Turkiye,TUR,10970.04589,96,7.775134153,74.134,23.08350913,52,10.83899975,,
Tuvalu,TUV,3808.69755,,,60.645,,55.425,,,84.77366
Tanzania,TZA,953.0107422,,5.174766293,32.333,16.34997506,,2.076999903,,61.57209
Uganda,UGA,752.6965717,69.10131836,5.706375046,22.624,12.42716442,,1.832999945,2.15536,54.74301
Ukraine,UKR,2158.461182,,13.9127102,69.154,49.29861946,62.15,9.350000381,5.00978,
Upper middle income,UMC,7329.376311,94.7611618,2.106707128,63.11565152,22.44711268,66.31666248,6.10347438,,93.78043
Uruguay,URY,17009.75869,99,9.639413476,95.144,26.93165717,64.613,7.84100008,4.7591,104.69619
United States,USA,58206.61419,,1.261583206,81.862,11.88815923,62.786,4.868999958,,
Uzbekistan,UZB,2753.379514,100,8.130886695,50.65,12.33306571,72.47,5.159999847,5.66773,96.81922
St. Vincent and the Grenadines,VCT,7656.900429,,-0.1496416476,51.373,,,19.21699905,5.7334,98.73208
"Venezuela, RB",VEN,,97,254.9485348,88.165,,61.185,7.389999866,,94.0508
British Virgin Islands,VGB,,,,46.957,,,,,90.59633
Virgin Islands (U.S.),VIR,35324.97489,,,95.48,47.02474987,,9.164999962,,
Viet Nam,VNM,2735.060438,,2.66824817,34.51,74.10728626,76.556,2.082999945,4.34481,105.96399
Vanuatu,VUT,2869.999691,,0.842069084,25.062,48.86609135,,4.521999836,,
World,WLD,10188.26006,86.00010681,1.605539174,54.1955309,27.19703254,63.87543137,5.669694379,,88.81853
Samoa,WSM,4147.070977,,1.304718693,18.681,28.77802032,,8.578000069,4.16222,110.70655
Kosovo,XKX,3759.449591,,0.273169431,,23.8274048,34.124,,,
"Yemen, Rep.",YEM,975.3594067,,,35.394,4.809194768,,13.30700016,,72.30039
South Africa,ZAF,5651.205852,91.73724365,6.602908424,65.341,28.15608817,54.714,26.5510006,5.94285,87.25533
Zambia,ZMB,1239.085279,,17.86973008,42.438,35.32467575,,10.88199997,3.74792,
Zimbabwe,ZWE,1407.415364,,-1.543669601,32.296,19.94353155,,5.252999783,,
